분류,메뉴,이미지_URL
양식,리조또,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\리조또.jpg
양식,샌드위치,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\샌드위치.jpg
일식,초밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\초밥.jpg
일식,라멘,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\라멘.jpg
일식,소바,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\소바.jpg
일식,돈까스,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\돈까스.jpg
일식,우동,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\우동.jpg
일식,텐동,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\텐동.jpg
일식,회덮밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\회덮밥.jpg
아시안음식,쌀국수,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\쌀국수.jpg
아시안음식,팟타이,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\팟타이.jpg
아시안음식,월남쌈,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\월남쌈.jpg
아시안음식,마라탕,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\마라탕.jpg
아시안음식,차슈 덮밥,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\차슈 덮밥.jpg
아시안음식,야끼소바,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\야끼소바.jpg
아시안음식,미고랭,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\미고랭.jpg
아시안음식,탄두리 치킨,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\탄두리 치킨.jpg
아시안음식,보쌈,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\보쌈.jpg
아시안음식,차오미엔,C:/00.KOSMO142/MainProject/pirates_server/flask/flask_project/static/images/food_images\차오미엔.jpg
